trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
77,False,"{'a': 0.06, 'e': 0.9615000000000042}",25,0,-83.93309713309732,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
78,False,"{'a': 0.06, 'e': 0.9610000000000043}",20,0,-80.73184812552091,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
79,False,"{'a': 0.06, 'e': 0.9605000000000044}",25,0,-207.62134857949505,"{0: 13, 1: 1, 2: 6, 3: 2, 4: 3}",0
80,False,"{'a': 0.06, 'e': 0.9600000000000044}",20,0,-66.27829931063239,"{0: 14, 1: 4, 2: 0, 3: 1, 4: 1}",0
81,False,"{'a': 0.06, 'e': 0.9595000000000045}",20,0,-151.16957604950818,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
82,False,"{'a': 0.06, 'e': 0.9590000000000045}",25,1,-166.59125641607363,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 3}",1
83,False,"{'a': 0.06, 'e': 0.9585000000000046}",25,0,-76.33689390699634,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
84,False,"{'a': 0.06, 'e': 0.9580000000000046}",30,1,-353.24743696902976,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 7}",1
85,False,"{'a': 0.06, 'e': 0.9575000000000047}",25,0,-55.90093521701101,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
86,False,"{'a': 0.06, 'e': 0.9570000000000047}",25,0,-147.49267809485877,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
87,False,"{'a': 0.06, 'e': 0.9565000000000048}",25,4,-111.77799455014451,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 2}",1
88,False,"{'a': 0.06, 'e': 0.9560000000000048}",25,0,-68.37156937907532,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
89,False,"{'a': 0.06, 'e': 0.9555000000000049}",30,0,-259.4868192631988,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 5}",0
90,False,"{'a': 0.06, 'e': 0.955000000000005}",25,0,-223.52285975791887,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 4}",0
91,False,"{'a': 0.06, 'e': 0.954500000000005}",20,0,-102.14337994901553,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
92,False,"{'a': 0.06, 'e': 0.9540000000000051}",25,0,-96.99124656463445,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
93,False,"{'a': 0.06, 'e': 0.9535000000000051}",25,0,-92.74807268167716,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
94,False,"{'a': 0.06, 'e': 0.9530000000000052}",25,0,-138.5593498910639,"{0: 14, 1: 3, 2: 4, 3: 3, 4: 1}",0
95,False,"{'a': 0.06, 'e': 0.9525000000000052}",25,0,-149.05490484393906,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
96,False,"{'a': 0.06, 'e': 0.9520000000000053}",20,4,-61.0745909265061,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 1}",1
97,False,"{'a': 0.06, 'e': 0.9515000000000053}",20,0,-30.11924694169304,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
98,False,"{'a': 0.06, 'e': 0.9510000000000054}",35,0,-171.6229436955713,"{0: 25, 1: 3, 2: 3, 3: 0, 4: 4}",0
99,False,"{'a': 0.06, 'e': 0.9505000000000055}",20,0,-161.93891757629675,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
100,False,"{'a': 0.06, 'e': 0.9500000000000055}",35,0,-133.78746667646425,"{0: 24, 1: 5, 2: 3, 3: 1, 4: 2}",0
101,False,"{'a': 0.06, 'e': 0.9495000000000056}",25,0,-137.05833029609076,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
