trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
362,False,"{'a': 0.06, 'e': 0.0262431940540739}",25,0,16.552049062069777,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
363,False,"{'a': 0.06, 'e': 0.026207120918047958}",25,0,32.28161770751911,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
364,False,"{'a': 0.06, 'e': 0.026171196129510688}",25,0,35.33214292958395,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
365,False,"{'a': 0.06, 'e': 0.026135418674465834}",30,23,8.08922876956764,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
366,False,"{'a': 0.06, 'e': 0.026099787548594027}",30,0,-26.69365640520952,"{0: 27, 1: 1, 2: 0, 3: 1, 4: 1}",0
367,False,"{'a': 0.06, 'e': 0.026064301757134346}",25,0,36.5864045446108,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
368,False,"{'a': 0.06, 'e': 0.026028960314767677}",30,0,-8.310597952699855,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
369,False,"{'a': 0.06, 'e': 0.02599376224550182}",20,0,18.043251447288977,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
370,False,"{'a': 0.06, 'e': 0.02595870658255825}",25,0,19.926064971203218,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
371,False,"{'a': 0.06, 'e': 0.02592379236826063}",20,0,26.97257857145768,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
372,False,"{'a': 0.06, 'e': 0.025889018653924886}",35,0,41.45516185777726,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
373,False,"{'a': 0.06, 'e': 0.025854384499750957}",25,10,23.67656687396741,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
374,False,"{'a': 0.06, 'e': 0.025819888974716113}",25,0,28.03823152297917,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
375,False,"{'a': 0.06, 'e': 0.025785531156469834}",20,0,30.595864313172413,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
376,False,"{'a': 0.06, 'e': 0.025751310131230238}",35,0,44.728735804339514,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
377,False,"{'a': 0.06, 'e': 0.025717224993681984}",20,0,25.774991619584974,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
378,False,"{'a': 0.06, 'e': 0.025683274846875707}",25,13,17.357376538963702,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,False,"{'a': 0.06, 'e': 0.025649458802128853}",30,0,35.58365869098151,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
380,False,"{'a': 0.06, 'e': 0.025615775978927998}",20,0,27.35035888248246,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
381,False,"{'a': 0.06, 'e': 0.02558222550483254}",30,0,40.695373241391714,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
382,False,"{'a': 0.06, 'e': 0.0255488065153798}",25,16,13.382451712023856,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
383,False,"{'a': 0.06, 'e': 0.025515518153991442}",25,0,-9.768901682295661,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
384,False,"{'a': 0.06, 'e': 0.025482359571881278}",20,0,25.27687504848671,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
385,False,"{'a': 0.06, 'e': 0.025449329927964382}",20,0,27.617493426718728,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
386,False,"{'a': 0.06, 'e': 0.025416428388767447}",35,23,-4.266887898865595,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
387,False,"{'a': 0.06, 'e': 0.02538365412834048}",25,0,27.74949054540006,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
388,False,"{'a': 0.06, 'e': 0.02535100632816969}",20,0,20.99836233676611,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
389,False,"{'a': 0.06, 'e': 0.025318484177091666}",20,0,-59.27276271223016,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
390,False,"{'a': 0.06, 'e': 0.02528608687120868}",25,0,8.368290869159628,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
391,False,"{'a': 0.06, 'e': 0.025253813613805267}",20,0,25.66382944469912,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
392,False,"{'a': 0.06, 'e': 0.025221663615265913}",20,0,19.654091563755735,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
393,False,"{'a': 0.06, 'e': 0.02518963609299392}",20,0,17.47614129457657,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
394,False,"{'a': 0.06, 'e': 0.02515773027133138}",20,0,25.22951229517193,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
395,False,"{'a': 0.06, 'e': 0.025125945381480302}",25,0,35.39593965654699,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
396,False,"{'a': 0.06, 'e': 0.02509428066142478}",20,0,-16.784918454146805,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
397,False,"{'a': 0.06, 'e': 0.025062735355854276}",20,0,19.318008979004464,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
398,False,"{'a': 0.06, 'e': 0.025031308716087945}",20,0,19.746795691119676,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
399,False,"{'a': 0.06, 'e': 0.025}",20,0,25.47138009899551,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
400,False,"{'a': 0.06, 'e': 0.024968808471946116}",25,0,-1.97331171277222,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
401,False,"{'a': 0.06, 'e': 0.024937733402690822}",25,0,33.18725627732274,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
402,False,"{'a': 0.06, 'e': 0.024906774069335894}",20,0,0.9821873347511222,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
403,False,"{'a': 0.06, 'e': 0.02487592975524973}",25,0,36.31771409270198,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
404,False,"{'a': 0.06, 'e': 0.024845199749997663}",20,0,26.21116983202841,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
405,False,"{'a': 0.06, 'e': 0.024814583349273254}",25,0,27.485240495508954,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
406,False,"{'a': 0.06, 'e': 0.02478407985483048}",30,0,20.303940871807615,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
407,False,"{'a': 0.06, 'e': 0.02475368857441686}",25,0,30.240310674779828,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
